ProcessName,PID,FilePath,SHA256Hash
msedgewebview2,18336,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,19816,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
msedgewebview2,20344,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
msedgewebview2,20452,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
mysqld,4276,C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe,45796B4FD95FAD6BD64E88E2EF8AF33E229B45685E0B108679769B6B6358049E
mysqld,4332,C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe,45796B4FD95FAD6BD64E88E2EF8AF33E229B45685E0B108679769B6B6358049E
MySQLWorkbench,13692,C:\Program Files\MySQL\MySQL Workbench 8.0\MySQLWorkbench.exe,796D23F7495C1297A032640C6BCB1922C6BF2D24EF9C257F96031CF559F57C88
Notepad,15176,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,3D5B56EC5CBE064E10B9525EF74359A4E6B83A9C3341F5FBAAC629BCE80B6817
OfficeClickToRun,15544,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe,02F367DF63999F9D33F2A56292C3E0CE021DD2311A31606EEA4156C91E081D47
olk,7568,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.1111.100_x64__8wekyb3d8bbwe\olk.exe,1221C4EE2FFA22C4D69920A9A4B4D52A4A46D333A0E88F9DC4BA260C5D967A39
OneDrive,17648,C:\Program Files\Microsoft OneDrive\OneDrive.exe,E00A94C9A23BA34212D40192999BE4B761B2D27F4EA07BDC5A414C949DB79655
OneDrive.Sync.Service,5924,C:\Program Files\Microsoft OneDrive\25.209.1026.0002\OneDrive.Sync.Service.exe,C9B4FE07264E471E5FF1D1121760749F2FD41AD8F16AD3F10F93C372A7A18B04
pet,9900,c:\Users\youce\.vscode\extensions\ms-python.python-2025.16.0-win32-x64\python-env-tools\bin\pet.exe,F4238A4BAF2AEB03FD55E50A8728CECF8F59BEEC2932167B446A6B5F82E46495
PhoneExperienceHost,18092,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25102.64.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,AEAB276D36C2CA4EA541F835CBABF3D5AA3F3C6AE78A9E56163E57489A74F3B5
powershell,4024,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46
powershell,12564,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46
powershell,17784,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46
PTPFilterService,4480,C:\WINDOWS\System32\DriverStore\FileRepository\ptpfiltercomp.inf_amd64_be78bd014d3dec8b\PTPFilterService.exe,C770105F5D1A3601D0C0C62AD9FCDAB989FDCC8622221C62A973A939889C758C
PTPGestureEngine,5872,C:\WINDOWS\System32\DriverStore\FileRepository\ptpfiltercomp.inf_amd64_be78bd014d3dec8b\PTPGestureEngine.exe,046D944D9C849818A687C5EA983B1F0A5FB98D8CFF33A84FE13D984360834E6B
QuickSearchService,4200,C:\Program Files\Samsung\Quick Search Service\QuickSearchService.exe,14AA7DEA5ABBFC4FD0A11AA2E1652AE4016C3AFD1683CA4855C7DF0CE9BC5C16
